district_osm_id,district_name,state_name,latitude,longitude,annual_rainfall_normal_mm,monsoon_rainfall_normal_mm,annual_rainfall_2022_mm,historical_landslides_1998_2022_state_count,elevation_m,slope_deg,terrain_data_status,prototype_risk_score,prototype_risk_level,label_status
3841145,Tawang district,Arunachal Pradesh,27.659809363185506,91.97551070795905,2933.7,1768.0,2810.6,7689,3799.0,19.5,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027458,Tirap,Arunachal Pradesh,27.024875254687903,95.5285059016574,2933.7,1768.0,2810.6,7689,491.0,3.18,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027436,Upper Siang,Arunachal Pradesh,28.815042186107515,94.93602084085968,2933.7,1768.0,2810.6,7689,630.0,42.85,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027358,Upper Subansiri,Arunachal Pradesh,28.318881255195752,93.90994038402944,2933.7,1768.0,2810.6,7689,2041.0,30.48,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
3841146,West Kameng,Arunachal Pradesh,27.23839636766555,92.3552675552626,2933.7,1768.0,2810.6,7689,2618.0,15.05,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2027359,West Siang,Arunachal Pradesh,28.1611399350306,94.62562840642516,2933.7,1768.0,2810.6,7689,977.0,27.8,ELEVATION_FILLED_SLOPE_FILLED,0.480069539854602,MEDIUM,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
16704179,Bajali,Assam,26.522408355741703,91.1419157023424,2296.8,1523.4,2375.7,2569,45.0,0.87,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521712,Baksa,Assam,26.66583333559812,91.19996738922686,2296.8,1523.4,2375.7,2569,53.0,0.26,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
1791158,Barpeta,Assam,26.29986985668469,90.97342518997002,2296.8,1523.4,2375.7,2569,39.0,0.29,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
16701825,Biswanath,Assam,26.83066472026144,93.38300083453407,2296.8,1523.4,2375.7,2569,89.0,1.27,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
1791154,Bongaigaon,Assam,26.36042960450565,90.61935975270892,2296.8,1523.4,2375.7,2569,41.0,1.26,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025971,Cachar,Assam,24.812103537421304,92.85588031794502,2296.8,1523.4,2375.7,2569,21.0,1.42,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521247,Charaideo,Assam,27.063078876023933,95.04631980401122,2296.8,1523.4,2375.7,2569,104.0,0.26,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
9521711,Chirang,Assam,26.66016572538632,90.59961244576272,2296.8,1523.4,2375.7,2569,95.0,0.0,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
1791255,Darrang,Assam,26.44717384478152,92.02897360610652,2296.8,1523.4,2375.7,2569,59.0,0.29,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026407,Dhemaji,Assam,27.59291792977513,94.77777591802962,2296.8,1523.4,2375.7,2569,105.0,0.0,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025887,Dhubri,Assam,26.16585312400426,90.03484678424378,2296.8,1523.4,2375.7,2569,48.0,0.58,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026441,Dibrugarh,Assam,27.367184788348588,95.05241172296324,2296.8,1523.4,2375.7,2569,107.0,1.94,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025931,Dima Hasao,Assam,25.37802194216758,93.03104696661346,2296.8,1523.4,2375.7,2569,306.0,7.74,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2025888,Goalpara,Assam,26.05128794577673,90.60364881583732,2296.8,1523.4,2375.7,2569,45.0,2.36,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026354,Golaghat,Assam,26.47660033051549,93.83404905500912,2296.8,1523.4,2375.7,2569,100.0,0.59,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
2026004,Hailakandi district,Assam,24.497756087372075,92.58706488102594,2296.8,1523.4,2375.7,2569,29.0,3.21,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
16701845,Hojai,Assam,25.978475935802937,92.98078568733092,2296.8,1523.4,2375.7,2569,82.0,1.34,ELEVATION_FILLED_SLOPE_FILLED,0.172494712385148,LOW,PROTOTYPE_PROXY_NOT_GROUND_TRUTH
