location_id,location_name,category,latitude,longitude,source
958035984,Doomdooma,railway_station,27.5737889,95.5560055,OpenStreetMap/Geofabrik North-Eastern Zone
1018099500,Duliajaan Bus Station,bus_station,27.4849024,95.364433,OpenStreetMap/Geofabrik North-Eastern Zone
1042045127,Baljek Airstrip,airport,25.6614876,90.3450394,OpenStreetMap/Geofabrik North-Eastern Zone
1042147346,Pukpui Helipad,helipad,22.9422667,92.76885,OpenStreetMap/Geofabrik North-Eastern Zone
1042147351,Lunglei Helipad,helipad,22.8683833,92.7633,OpenStreetMap/Geofabrik North-Eastern Zone
1042147353,Vairengte Helipad,helipad,24.4789167,92.7539333,OpenStreetMap/Geofabrik North-Eastern Zone
1042147382,HQ Eastern Air Command Helipad,helipad,25.5380909,91.8264749,OpenStreetMap/Geofabrik North-Eastern Zone
1042147389,Indian Army Helipad,helipad,24.3267,93.6754667,OpenStreetMap/Geofabrik North-Eastern Zone
1042147414,Kohima Helipad,helipad,25.6630667,94.1139333,OpenStreetMap/Geofabrik North-Eastern Zone
1118546131,Panisagar,railway_station,24.2745283,92.1502149,OpenStreetMap/Geofabrik North-Eastern Zone
1133639881,Krishnai,railway_station,26.0783016,90.679881,OpenStreetMap/Geofabrik North-Eastern Zone
1133639965,Pancharatna,railway_station,26.1584097,90.5557927,OpenStreetMap/Geofabrik North-Eastern Zone
1133640343,Mohanbari,railway_station,27.4570405,95.0191465,OpenStreetMap/Geofabrik North-Eastern Zone
1133695418,Rupai,railway_station,27.5998165,95.5569781,OpenStreetMap/Geofabrik North-Eastern Zone
1210735250,Kumarghat,railway_station,24.1511427,92.035408,OpenStreetMap/Geofabrik North-Eastern Zone
1210735993,Ambassa,railway_station,23.9311541,91.8611485,OpenStreetMap/Geofabrik North-Eastern Zone
1210736286,Mungiakami,railway_station,23.8849008,91.7120232,OpenStreetMap/Geofabrik North-Eastern Zone
1299582748,ASTC,bus_station,26.1811683,91.7499743,OpenStreetMap/Geofabrik North-Eastern Zone
1328017587,,helipad,27.74475,88.7764648,OpenStreetMap/Geofabrik North-Eastern Zone
1334498773,Dangtal,railway_station,26.4692775,90.4951321,OpenStreetMap/Geofabrik North-Eastern Zone
