node_id,latitude,longitude
1,24.5673702,92.3659818
2,24.619525,92.7140737
3,25.3523572,93.5984436
4,23.1863575,93.249808
5,22.8853653,92.7325903
6,23.3848565,92.6143625
7,24.6315336,92.7086432
8,23.4444038,92.7612028
9,23.2812916,92.7753393
10,24.6847794,92.5644576
11,24.2882884,93.2740138
12,23.7407751,92.5574632
13,25.84578,93.4379046
14,23.1662486,93.270447
15,23.9889166,93.5534607
16,24.4226164,93.7159089
17,25.5266529,91.4341014
18,25.8667224,91.1549118
19,23.8393903,91.6267812
20,25.9242759,91.4716355
21,25.5144791,90.213025
22,26.051138,90.4418283
23,25.1660838,90.3413946
24,27.2960947,95.8556737
25,27.8176853,95.64421
26,28.010585,94.2025589
27,27.8325867,93.937751
28,28.0954267,95.3037097
29,27.0390776,95.0753202
30,27.09131,95.1966405
31,26.971352,92.76007
32,27.1033649,95.7380071
33,27.1657422,95.3323517
34,27.2733002,95.2907507
35,27.8250082,93.9417073
36,26.2111509,92.3477455
37,27.1895887,97.0075647
38,27.1988915,94.9327398
39,27.2666821,95.3861496
40,27.858006,95.791356
41,28.9743419,95.9704835
42,26.8135162,94.5251679
43,26.6539489,94.3190533
44,26.5105851,93.9678149
45,26.503232,93.918338
46,27.1088458,93.8242112
47,26.915701,94.735728
48,27.3959661,95.6146319
49,26.5603795,92.2166577
50,27.3568598,96.0133959
51,26.464921,91.0691524
52,26.6085801,91.587839
53,26.5654388,91.0959116
54,26.3317032,90.2099632
55,26.4153232,90.1696555
56,26.3632474,90.179158
57,24.2867103,91.8029085
58,24.2820987,91.8336115
59,22.9900225,91.7415812
60,24.3076724,91.7716825
61,24.283608,91.7426864
62,23.3803639,91.2383647
63,23.4199305,91.2264222
64,26.1809872,91.6719197
65,26.9244484,92.8272855
66,26.935988,92.8311736
67,26.0906934,91.61205
68,26.1043827,91.7073351
69,26.1414717,91.6757745
70,26.1515992,91.6543108
71,26.1614423,91.6712925
72,26.2203882,91.7000487
73,26.1947695,91.7164007
74,26.2357639,91.688965
75,26.2431801,91.7372445
76,26.1324813,91.8119619
